old_name,new_name,old_path,new_path
Ede et al. - 2023 - Building a Covid 19 secure intensive care unit A human centred design approach.txt,Ede_2023_building-covid-19-secure-intensive-care.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Ede et al. - 2023 - Building a Covid 19 secure intensive care unit A human centred design approach.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Ede_2023_building-covid-19-secure-intensive-care.txt
Ekstedt et al. - 2022 - Design and Development of an eHealth Service for Collaborative Self Management among Older Adults wi.txt,Ekstedt_2022_development-ehealth-service-collaborativ.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Ekstedt et al. - 2022 - Design and Development of an eHealth Service for Collaborative Self Management among Older Adults wi.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Ekstedt_2022_development-ehealth-service-collaborativ.txt
Fakoya et al. - 2022 - Enhancing Human Centered Design With Youth Led Participatory Action Research Approaches for Adolesce.txt,Fakoya_2022_enhancing-human-youth-led-participatory.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Fakoya et al. - 2022 - Enhancing Human Centered Design With Youth Led Participatory Action Research Approaches for Adolesce.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Fakoya_2022_enhancing-human-youth-led-participatory.txt
Fanio et al. - 2023 - Designing for patient decision making Design challenges generated by patients with atrial fibrillati.txt,Fanio_2023_designing-patient-decision-making-challe.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Fanio et al. - 2023 - Designing for patient decision making Design challenges generated by patients with atrial fibrillati.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Fanio_2023_designing-patient-decision-making-challe.txt
Farinango et al. - 2018 - Human centered design of a personal health record system for metabolic syndrome management based on.txt,Farinango_2018_human-personal-health-record-system-meta.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Farinango et al. - 2018 - Human centered design of a personal health record system for metabolic syndrome management based on.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Farinango_2018_human-personal-health-record-system-meta.txt
Farrell D. et al. - 2011 - Developing e Bug web games to teach microbiology.txt,Farrell_2011_developing-e-bug-web-games-teach-microbi.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Farrell D. et al. - 2011 - Developing e Bug web games to teach microbiology.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Farrell_2011_developing-e-bug-web-games-teach-microbi.txt
Fassl M. et al. - 2021 - Exploring user centered security design for usable authentication ceremonies.txt,Fassl_2021_exploring-security-usable-authentication.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Fassl M. et al. - 2021 - Exploring user centered security design for usable authentication ceremonies.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Fassl_2021_exploring-security-usable-authentication.txt
Fauzan M.A. et al. - 2023 - User Interface Design for A University E Library Mobile App Using User Centered Design.txt,Fauzan_2023_interface-university-e-library-mobile-ap.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Fauzan M.A. et al. - 2023 - User Interface Design for A University E Library Mobile App Using User Centered Design.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Fauzan_2023_interface-university-e-library-mobile-ap.txt
Fazaeli et al. - 2021 - Development Implementation and User Evaluation of COVID 19 Dashboard in a Third Level Hospital in Ir.txt,Fazaeli_2021_development-implementation-evaluation-co.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Fazaeli et al. - 2021 - Development Implementation and User Evaluation of COVID 19 Dashboard in a Third Level Hospital in Ir.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Fazaeli_2021_development-implementation-evaluation-co.txt
Forbush et al. - 2023 - The Building Healthy Eating and Self Esteem Together for University Students Mobile App to Treat Eat.txt,Forbush_2023_building-healthy-eating-self-esteem-toge.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Forbush et al. - 2023 - The Building Healthy Eating and Self Esteem Together for University Students Mobile App to Treat Eat.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Forbush_2023_building-healthy-eating-self-esteem-toge.txt
Franklin PD - 2022 - Web Based System to Capture Consistent and Complete Real world Data of Physical Therapy Intervention.txt,Franklin_2022_web-system-capture-consistent-complete-r.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Franklin PD - 2022 - Web Based System to Capture Consistent and Complete Real world Data of Physical Therapy Intervention.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Franklin_2022_web-system-capture-consistent-complete-r.txt
Gagnon Shaigetz V - 2021 - An Immersive and Interactive Platform for Cognitive Assessment and Rehabilitation bWell Design and I.txt,Gagnon_2021_immersive-interactive-platform-cognitive.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Gagnon Shaigetz V - 2021 - An Immersive and Interactive Platform for Cognitive Assessment and Rehabilitation bWell Design and I.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Gagnon_2021_immersive-interactive-platform-cognitive.txt
Gan et al. - 2023 - Promoting Engagement With Smartphone Apps for Suicidal Ideation in Young People Development of an Ad.txt,Gan_2023_promoting-engagement-smartphone-apps-sui.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Gan et al. - 2023 - Promoting Engagement With Smartphone Apps for Suicidal Ideation in Young People Development of an Ad.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Gan_2023_promoting-engagement-smartphone-apps-sui.txt
Garabedian et al. - 2022 - Human centered design of clinical decision support for management of hypertension with chronic kidne.txt,Garabedian_2022_human-clinical-decision-support-manageme.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Garabedian et al. - 2022 - Human centered design of clinical decision support for management of hypertension with chronic kidne.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Garabedian_2022_human-clinical-decision-support-manageme.txt
Garber et al. - 2023 - Developing pilot testing and refining requirements for 3 EHR integrated interventions to improve dia.txt,Garber_2023_developing-pilot-testing-refining-requir.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Garber et al. - 2023 - Developing pilot testing and refining requirements for 3 EHR integrated interventions to improve dia.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Garber_2023_developing-pilot-testing-refining-requir.txt
Garvelink MM - 2016 - Development of a decision guide to support the elderly in decision making about location of care an.txt,Garvelink_2016_development-decision-guide-support-elder.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Garvelink MM - 2016 - Development of a decision guide to support the elderly in decision making about location of care an.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Garvelink_2016_development-decision-guide-support-elder.txt
Garzo et al. - 2018 - Design and development of a gait training system for Parkinson s disease.txt,Garzo_2018_development-gait-training-system-parkins.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Garzo et al. - 2018 - Design and development of a gait training system for Parkinson s disease.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Garzo_2018_development-gait-training-system-parkins.txt
Gaudaen J.C. et al. - 2023 - Usability Enhancements to a Prototype Clinical Decision Support System for Combat Medics.txt,Gaudaen_2023_usability-enhancements-prototype-clinica.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Gaudaen J.C. et al. - 2023 - Usability Enhancements to a Prototype Clinical Decision Support System for Combat Medics.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Gaudaen_2023_usability-enhancements-prototype-clinica.txt
Gherardini et al. - 2017 - A systematic user centred framework for engineering product design in small and medium sized enterpr.txt,Gherardini_2017_systematic-framework-engineering-product.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\02_incl_cleaned_b_02\Gherardini et al. - 2017 - A systematic user centred framework for engineering product design in small and medium sized enterpr.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\02_incl_cleaned_b_02\Gherardini_2017_systematic-framework-engineering-product.txt
