old_name,new_name,old_path,new_path
Markensten E. and Artman H. - 2004 - Procuring a usable system using unemployed personas.txt,Markensten-Artman_2004_procuring-usable-system-unemployed-perso.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\03_incl_cleaned_b_03\Markensten E. and Artman H. - 2004 - Procuring a usable system using unemployed personas.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\03_incl_cleaned_b_03\Markensten-Artman_2004_procuring-usable-system-unemployed-perso.txt
Martin E. et al. - 2019 - Today I Tell A Comics and Story Creation App for People with Autism Spectrum Condition.txt,Martin_2019_today-i-tell-comics-story-creation-app-p.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\03_incl_cleaned_b_03\Martin E. et al. - 2019 - Today I Tell A Comics and Story Creation App for People with Autism Spectrum Condition.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\03_incl_cleaned_b_03\Martin_2019_today-i-tell-comics-story-creation-app-p.txt
Martin et al. - 2024 - An Interactive Modeling Tool for Projecting the Health and Direct Medical Cost Impact of Changes in.txt,Martin_2024_interactive-modeling-tool-projecting-hea.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\03_incl_cleaned_b_03\Martin et al. - 2024 - An Interactive Modeling Tool for Projecting the Health and Direct Medical Cost Impact of Changes in.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\03_incl_cleaned_b_03\Martin_2024_interactive-modeling-tool-projecting-hea.txt
McKinnon et al. - 2022 - Using human centred design to tackle COVID 19 vaccine hesitancy for children and youth a protocol fo.txt,McKinnon_2022_human-tackle-covid-19-vaccine-hesitancy.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\03_incl_cleaned_b_03\McKinnon et al. - 2022 - Using human centred design to tackle COVID 19 vaccine hesitancy for children and youth a protocol fo.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\03_incl_cleaned_b_03\McKinnon_2022_human-tackle-covid-19-vaccine-hesitancy.txt
McLoone H.E. et al. - 2010 - User centered design and evaluation of a next generation fixed split ergonomic keyboard.txt,McLoone_2010_evaluation-next-generation-fixed-split-e.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\03_incl_cleaned_b_03\McLoone H.E. et al. - 2010 - User centered design and evaluation of a next generation fixed split ergonomic keyboard.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\03_incl_cleaned_b_03\McLoone_2010_evaluation-next-generation-fixed-split-e.txt
McWilliams et al. - 2018 - Patient and Family Engagement in the Design of a Mobile Health Solution for Pediatric Asthma Develop.txt,McWilliams_2018_patient-family-engagement-mobile-health.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\03_incl_cleaned_b_03\McWilliams et al. - 2018 - Patient and Family Engagement in the Design of a Mobile Health Solution for Pediatric Asthma Develop.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\03_incl_cleaned_b_03\McWilliams_2018_patient-family-engagement-mobile-health.txt
Mehdizadeh et al. - 2022 - An mHealth Self management System for Support Children With Acute Lymphocytic Leukemia and Their Car.txt,Mehdizadeh_2022_mhealth-self-management-system-support-c.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\03_incl_cleaned_b_03\Mehdizadeh et al. - 2022 - An mHealth Self management System for Support Children With Acute Lymphocytic Leukemia and Their Car.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\03_incl_cleaned_b_03\Mehdizadeh_2022_mhealth-self-management-system-support-c.txt
Mehra et al. - 2023 - A Tailored mHealth App for Improving Health and Well Being Behavioral Transformation in UK Police Wo.txt,Mehra_2023_tailored-mhealth-app-improving-health-we.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\03_incl_cleaned_b_03\Mehra et al. - 2023 - A Tailored mHealth App for Improving Health and Well Being Behavioral Transformation in UK Police Wo.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\03_incl_cleaned_b_03\Mehra_2023_tailored-mhealth-app-improving-health-we.txt
Memedi M. et al. - 2018 - An interface for IoT Feeding back health related data to Parkinson s disease patients.txt,Memedi_2018_interface-iot-feeding-back-health-relate.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\03_incl_cleaned_b_03\Memedi M. et al. - 2018 - An interface for IoT Feeding back health related data to Parkinson s disease patients.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\03_incl_cleaned_b_03\Memedi_2018_interface-iot-feeding-back-health-relate.txt
Michalak et al. - 2019 - Supporting Self Management in Bipolar Disorder Mixed Methods Knowledge Translation Study.txt,Michalak_2019_supporting-self-management-bipolar-disor.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\cleaned_included_papers\03_incl_cleaned_b_03\Michalak et al. - 2019 - Supporting Self Management in Bipolar Disorder Mixed Methods Knowledge Translation Study.txt,D:\_as_developer\slr_screening\data\barrier_identification_included\filename_trunced\03_incl_cleaned_b_03\Michalak_2019_supporting-self-management-bipolar-disor.txt
